Date,Medicament,Quantite,PrixUnitaire,ProfitUnitaire,ProfitRatio,Total,ProfitTotal,ProfitTotalRatio,DayOfWeek,DayOfMonth,Month,Year,Saison,IsHoliday,IsWeekend,PrixQuantiteRatio,MoyenneRoulante_7d_Quantite
2022-10-10,Hydrochlorothiazide,6,15.0,10.0,0.6666666666666666,90.0,60.0,0.6666666666666666,0,10,10,2022,Automne,False,False,2.5,0
2022-10-10,Furosemide,1,17.0,13.25,0.7794117647058824,17.0,13.25,0.7794117647058824,0,10,10,2022,Automne,False,False,17.0,0
2022-10-10,Gabapentine,6,9.0,4.0,0.4444444444444444,54.0,24.0,0.4444444444444444,0,10,10,2022,Automne,False,False,1.5,0
2022-10-10,Prednisone,8,3.5,1.5,0.42857142857142855,28.0,12.0,0.42857142857142855,0,10,10,2022,Automne,False,False,0.44,0
2022-10-10,Azithromycine,8,13.0,7.25,0.5576923076923077,104.0,58.0,0.5576923076923077,0,10,10,2022,Automne,False,False,1.62,0
2022-10-10,Omeprazole,1,5.5,3.5,0.6363636363636364,5.5,3.5,0.6363636363636364,0,10,10,2022,Automne,False,False,5.5,0
2022-10-10,Metformine,5,12.0,8.25,0.6875,60.0,41.25,0.6875,0,10,10,2022,Automne,False,False,2.4,5.0
2022-10-10,Hydrochlorothiazide,5,15.0,10.0,0.6666666666666666,75.0,50.0,0.6666666666666666,0,10,10,2022,Automne,False,False,3.0,4.857142857142857
2022-10-10,Amoxicilline,7,8.0,6.0,0.75,56.0,42.0,0.75,0,10,10,2022,Automne,False,False,1.14,5.714285714285714
2022-10-10,Warfarine,1,10.0,6.5,0.65,10.0,6.5,0.65,0,10,10,2022,Automne,False,False,10.0,5.0
2022-10-11,Ibuprofen,9,6.0,4.0,0.6666666666666666,54.0,36.0,0.6666666666666666,1,11,10,2022,Automne,False,False,0.67,5.142857142857143
2022-10-11,Furosemide,9,17.0,13.25,0.7794117647058824,153.0,119.25,0.7794117647058824,1,11,10,2022,Automne,False,False,1.89,5.285714285714286
2022-10-11,Azithromycine,10,13.0,7.25,0.5576923076923077,130.0,72.5,0.5576923076923077,1,11,10,2022,Automne,False,False,1.3,6.571428571428571
2022-10-11,Prednisone,8,3.5,1.5,0.42857142857142855,28.0,12.0,0.42857142857142855,1,11,10,2022,Automne,False,False,0.44,7.0
2022-10-11,Furosemide,4,17.0,13.25,0.7794117647058824,68.0,53.0,0.7794117647058824,1,11,10,2022,Automne,False,False,4.25,6.857142857142857
2022-10-11,Amoxicilline,2,8.0,6.0,0.75,16.0,12.0,0.75,1,11,10,2022,Automne,False,False,4.0,6.142857142857143
2022-10-11,Ibuprofen,10,6.0,4.0,0.6666666666666666,60.0,40.0,0.6666666666666666,1,11,10,2022,Automne,False,False,0.6,7.428571428571429
2022-10-11,Montelukast,9,8.5,6.5,0.7647058823529411,76.5,58.5,0.7647058823529411,1,11,10,2022,Automne,False,False,0.94,7.428571428571429
2022-10-11,Losartan,7,6.5,2.5,0.38461538461538464,45.5,17.5,0.38461538461538464,1,11,10,2022,Automne,False,False,0.93,7.142857142857143
2022-10-11,Venlafaxine,8,10.5,8.5,0.8095238095238095,84.0,68.0,0.8095238095238095,1,11,10,2022,Automne,False,False,1.31,6.857142857142857
2022-10-11,Duloxetine,5,11.5,5.5,0.4782608695652174,57.5,27.5,0.4782608695652174,1,11,10,2022,Automne,False,False,2.3,6.428571428571429
2022-10-11,Sertraline,4,6.5,3.5,0.5384615384615384,26.0,14.0,0.5384615384615384,1,11,10,2022,Automne,False,False,1.62,6.428571428571429
2022-10-11,Duloxetine,9,11.5,5.5,0.4782608695652174,103.5,49.5,0.4782608695652174,1,11,10,2022,Automne,False,False,1.28,7.428571428571429
2022-10-11,Omeprazole,7,5.5,3.5,0.6363636363636364,38.5,24.5,0.6363636363636364,1,11,10,2022,Automne,False,False,0.79,7.0
2022-10-11,Prednisone,8,3.5,1.5,0.42857142857142855,28.0,12.0,0.42857142857142855,1,11,10,2022,Automne,False,False,0.44,6.857142857142857
2022-10-11,Losartan,7,6.5,2.5,0.38461538461538464,45.5,17.5,0.38461538461538464,1,11,10,2022,Automne,False,False,0.93,6.857142857142857
2022-10-11,Esomeprazole,2,4.5,2.5,0.5555555555555556,9.0,5.0,0.5555555555555556,1,11,10,2022,Automne,False,False,2.25,6.0
2022-10-11,Losartan,6,6.5,2.5,0.38461538461538464,39.0,15.0,0.38461538461538464,1,11,10,2022,Automne,False,False,1.08,6.142857142857143
2022-10-11,Amoxicilline,10,8.0,6.0,0.75,80.0,60.0,0.75,1,11,10,2022,Automne,False,False,0.8,7.0
2022-10-12,Fluoxetine,7,7.0,3.5,0.5,49.0,24.5,0.5,2,12,10,2022,Automne,False,False,1.0,6.714285714285714
2022-10-12,Duloxetine,8,11.5,5.5,0.4782608695652174,92.0,44.0,0.4782608695652174,2,12,10,2022,Automne,False,False,1.44,6.857142857142857
2022-10-12,Hydrochlorothiazide,3,15.0,10.0,0.6666666666666666,45.0,30.0,0.6666666666666666,2,12,10,2022,Automne,False,False,5.0,6.142857142857143
2022-10-12,Warfarine,9,10.0,6.5,0.65,90.0,58.5,0.65,2,12,10,2022,Automne,False,False,1.11,6.428571428571429
2022-10-12,Azithromycine,7,13.0,7.25,0.5576923076923077,91.0,50.75,0.5576923076923077,2,12,10,2022,Automne,False,False,1.86,7.142857142857143
2022-10-12,Losartan,7,6.5,2.5,0.38461538461538464,45.5,17.5,0.38461538461538464,2,12,10,2022,Automne,False,False,0.93,7.285714285714286
