Date,Medicament,Quantite,PrixUnitaire,Total,DayOfWeek,DayOfMonth,Month,Saison,IsHoliday,IsWeekend,PrixQuantiteRatio,MoyenneRoulante_7d_Quantite
2021-10-05,Ibuprofen,8,6.0,48.0,1,5,10,Automne,False,False,0.75,0.0
2021-10-05,Amlodipine,3,14.0,42.0,1,5,10,Automne,False,False,4.67,0.0
2021-10-06,Azithromycine,4,13.0,52.0,2,6,10,Automne,False,False,3.25,0.0
2021-10-07,Ibuprofen,10,6.0,60.0,3,7,10,Automne,False,False,0.6,0.0
2021-10-08,Gabapentine,6,9.0,54.0,4,8,10,Automne,False,False,1.5,0.0
2021-10-09,Cortisone,4,7.5,30.0,5,9,10,Automne,False,True,1.88,0.0
2021-10-10,Azithromycine,10,13.0,130.0,6,10,10,Automne,False,True,1.3,6.428571428571429
2021-10-10,Sertraline,5,6.5,32.5,6,10,10,Automne,False,True,1.3,6.0
2021-10-15,Aspirine,9,3.5,31.5,4,15,10,Automne,False,False,0.39,6.857142857142857
2021-10-16,Simvastatine,4,16.0,64.0,5,16,10,Automne,False,True,4.0,6.857142857142857
2021-10-16,Aspirine,4,3.5,14.0,5,16,10,Automne,False,True,0.88,6.0
2021-10-18,Omeprazole,6,5.5,33.0,0,18,10,Automne,False,False,0.92,6.0
2021-10-19,Aspirine,10,3.5,35.0,1,19,10,Automne,False,False,0.35,6.857142857142857
2021-10-22,Simvastatine,5,16.0,80.0,4,22,10,Automne,False,False,3.2,6.142857142857143
2021-10-23,Furosemide,2,17.0,34.0,5,23,10,Automne,False,True,8.5,5.714285714285714
2021-10-23,Simvastatine,8,16.0,128.0,5,23,10,Automne,False,True,2.0,5.571428571428571
2021-10-24,Esomeprazole,10,4.5,45.0,6,24,10,Automne,False,True,0.45,6.428571428571429
2021-10-24,Albuterol,5,9.5,47.5,6,24,10,Automne,False,True,1.9,6.571428571428571
2021-10-24,Montelukast,3,8.5,25.5,6,24,10,Automne,False,True,2.83,6.142857142857143
2021-10-25,Warfarine,1,10.0,10.0,0,25,10,Automne,False,False,10.0,4.857142857142857
2021-10-28,Metformine,4,12.0,48.0,3,28,10,Automne,False,False,3.0,4.714285714285714
2021-10-29,Amlodipine,7,14.0,98.0,4,29,10,Automne,False,False,2.0,5.428571428571429
2021-10-29,Atorvastatine,2,11.0,22.0,4,29,10,Automne,False,False,5.5,4.571428571428571
2021-10-29,Albuterol,8,9.5,76.0,4,29,10,Automne,False,False,1.19,4.285714285714286
2021-10-29,Albuterol,5,9.5,47.5,4,29,10,Automne,False,False,1.9,4.285714285714286
2021-10-30,Fluoxetine,7,7.0,49.0,5,30,10,Automne,False,True,1.0,4.857142857142857
2021-10-30,Hydrochlorothiazide,6,15.0,90.0,5,30,10,Automne,False,True,2.5,5.571428571428571
2021-11-02,Losartan,9,6.5,58.5,1,2,11,Automne,False,False,0.72,6.285714285714286
2021-11-03,Sertraline,5,6.5,32.5,2,3,11,Automne,False,False,1.3,6.0
2021-11-03,Prednisone,10,3.5,35.0,2,3,11,Automne,False,False,0.35,7.142857142857143
2021-11-04,Cortisone,4,7.5,30.0,3,4,11,Automne,False,False,1.88,6.571428571428571
2021-11-06,Duloxetine,2,11.5,23.0,5,6,11,Automne,False,True,5.75,6.142857142857143
2021-11-07,Furosemide,1,17.0,17.0,6,7,11,Automne,False,True,17.0,5.285714285714286
2021-11-08,Azithromycine,10,13.0,130.0,0,8,11,Automne,False,False,1.3,5.857142857142857
2021-11-08,Amlodipine,1,14.0,14.0,0,8,11,Automne,False,False,14.0,4.714285714285714
2021-11-09,Warfarine,6,10.0,60.0,1,9,11,Automne,False,False,1.67,4.857142857142857
2021-11-09,Atorvastatine,9,11.0,99.0,1,9,11,Automne,False,False,1.22,4.714285714285714
2021-11-09,Sertraline,8,6.5,52.0,1,9,11,Automne,False,False,0.81,5.285714285714286
2021-11-10,Amoxicilline,7,8.0,56.0,2,10,11,Automne,False,False,1.14,6.0
2021-11-11,Omeprazole,9,5.5,49.5,3,11,11,Automne,False,False,0.61,7.142857142857143
2021-11-11,Lisinopril,10,5.0,50.0,3,11,11,Automne,False,False,0.5,7.142857142857143
2021-11-12,Warfarine,4,10.0,40.0,4,12,11,Automne,False,False,2.5,7.571428571428571
2021-11-12,Atorvastatine,1,11.0,11.0,4,12,11,Automne,False,False,11.0,6.857142857142857
2021-11-12,Duloxetine,7,11.5,80.5,4,12,11,Automne,False,False,1.64,6.571428571428571
2021-11-13,Hydrochlorothiazide,2,15.0,30.0,5,13,11,Automne,False,True,7.5,5.714285714285714
2021-11-13,Prednisone,8,3.5,28.0,5,13,11,Automne,False,True,0.44,5.857142857142857
2021-11-15,Atorvastatine,10,11.0,110.0,0,15,11,Automne,False,False,1.1,6.0
2021-11-15,Fluoxetine,5,7.0,35.0,0,15,11,Automne,False,False,1.4,5.285714285714286
2021-11-15,Amoxicilline,4,8.0,32.0,0,15,11,Automne,False,False,2.0,5.285714285714286
2021-11-17,Fluoxetine,1,7.0,7.0,2,17,11,Automne,False,False,7.0,5.285714285714286
2021-11-17,Furosemide,3,17.0,51.0,2,17,11,Automne,False,False,5.67,4.714285714285714
2021-11-17,Lisinopril,9,5.0,45.0,2,17,11,Automne,False,False,0.56,5.714285714285714
2021-11-17,Amoxicilline,8,8.0,64.0,2,17,11,Automne,False,False,1.0,5.714285714285714
2021-11-19,Albuterol,6,9.5,57.0,4,19,11,Automne,False,False,1.58,5.142857142857143
2021-11-21,Azithromycine,8,13.0,104.0,6,21,11,Automne,False,True,1.62,5.571428571428571
2021-11-21,Montelukast,1,8.5,8.5,6,21,11,Automne,False,True,8.5,5.142857142857143
2021-11-22,Simvastatine,5,16.0,80.0,0,22,11,Automne,False,False,3.2,5.714285714285714
2021-11-22,Prednisone,10,3.5,35.0,0,22,11,Automne,False,False,0.35,6.714285714285714
2021-11-23,Furosemide,7,17.0,119.0,1,23,11,Automne,False,False,2.43,6.428571428571429
2021-11-23,Paracétamol,1,5.0,5.0,1,23,11,Automne,False,False,5.0,5.428571428571429
2021-11-24,Aspirine,2,3.5,7.0,2,24,11,Automne,False,False,1.75,4.857142857142857
2021-11-24,Warfarine,6,10.0,60.0,2,24,11,Automne,False,False,1.67,4.571428571428571
2021-11-24,Warfarine,6,10.0,60.0,2,24,11,Automne,False,False,1.67,5.285714285714286
2021-11-24,Amoxicilline,4,8.0,32.0,2,24,11,Automne,False,False,2.0,5.142857142857143
2021-11-26,Amoxicilline,4,8.0,32.0,4,26,11,Automne,False,False,2.0,4.285714285714286
2021-11-26,Albuterol,7,9.5,66.5,4,26,11,Automne,False,False,1.36,4.285714285714286
2021-11-26,Aspirine,4,3.5,14.0,4,26,11,Automne,False,False,0.88,4.714285714285714
2021-11-27,Losartan,3,6.5,19.5,5,27,11,Automne,False,True,2.17,4.857142857142857
2021-11-28,Atorvastatine,7,11.0,77.0,6,28,11,Automne,False,True,1.57,5.0
2021-11-29,Amlodipine,10,14.0,140.0,0,29,11,Automne,False,False,1.4,5.571428571428571
2021-11-29,Venlafaxine,3,10.5,31.5,0,29,11,Automne,False,False,3.5,5.428571428571429
2021-12-01,Amlodipine,10,14.0,140.0,2,1,12,Hiver,False,False,1.4,6.285714285714286
2021-12-01,Albuterol,2,9.5,19.0,2,1,12,Hiver,False,False,4.75,5.571428571428571
2021-12-02,Omeprazole,6,5.5,33.0,3,2,12,Hiver,False,False,0.92,5.857142857142857
2021-12-02,Prednisone,1,3.5,3.5,3,2,12,Hiver,False,False,3.5,5.571428571428571
2021-12-03,Omeprazole,7,5.5,38.5,4,3,12,Hiver,False,False,0.79,5.571428571428571
2021-12-04,Amoxicilline,7,8.0,56.0,5,4,12,Hiver,False,True,1.14,5.142857142857143
2021-12-05,Ibuprofen,3,6.0,18.0,6,5,12,Hiver,False,True,2.0,5.142857142857143
2021-12-06,Simvastatine,4,16.0,64.0,0,6,12,Hiver,False,False,4.0,4.285714285714286
2021-12-07,Paracétamol,6,5.0,30.0,1,7,12,Hiver,False,False,0.83,4.857142857142857
2021-12-09,Esomeprazole,9,4.5,40.5,3,9,12,Hiver,False,False,0.5,5.285714285714286
2021-12-09,Lisinopril,4,5.0,20.0,3,9,12,Hiver,False,False,1.25,5.714285714285714
2021-12-09,Hydrochlorothiazide,3,15.0,45.0,3,9,12,Hiver,False,False,5.0,5.142857142857143
2021-12-09,Venlafaxine,1,10.5,10.5,3,9,12,Hiver,False,False,10.5,4.285714285714286
2021-12-10,Albuterol,1,9.5,9.5,4,10,12,Hiver,False,False,9.5,4.0
2021-12-10,Azithromycine,9,13.0,117.0,4,10,12,Hiver,False,False,1.44,4.714285714285714
2021-12-10,Furosemide,8,17.0,136.0,4,10,12,Hiver,False,False,2.12,5.0
2021-12-10,Lisinopril,6,5.0,30.0,4,10,12,Hiver,False,False,0.83,4.571428571428571
2021-12-11,Montelukast,2,8.5,17.0,5,11,12,Hiver,False,True,4.25,4.285714285714286
2021-12-12,Lisinopril,3,5.0,15.0,6,12,12,Hiver,False,True,1.67,4.285714285714286
2021-12-12,Warfarine,3,10.0,30.0,6,12,12,Hiver,False,True,3.33,4.571428571428571
2021-12-13,Omeprazole,1,5.5,5.5,0,13,12,Hiver,False,False,5.5,4.571428571428571
2021-12-14,Warfarine,4,10.0,40.0,1,14,12,Hiver,False,False,2.5,3.857142857142857
2021-12-15,Warfarine,8,10.0,80.0,2,15,12,Hiver,False,False,1.25,3.857142857142857
2021-12-16,Atorvastatine,4,11.0,44.0,3,16,12,Hiver,False,False,2.75,3.571428571428572
2021-12-18,Cortisone,4,7.5,30.0,5,18,12,Hiver,False,True,1.88,3.857142857142857
2021-12-19,Albuterol,6,9.5,57.0,6,19,12,Hiver,False,True,1.58,4.285714285714286
2021-12-19,Gabapentine,3,9.0,27.0,6,19,12,Hiver,False,True,3.0,4.285714285714286
2021-12-20,Albuterol,1,9.5,9.5,0,20,12,Hiver,False,False,9.5,4.285714285714286
2021-12-20,Gabapentine,5,9.0,45.0,0,20,12,Hiver,False,False,1.8,4.428571428571429
2021-12-20,Gabapentine,4,9.0,36.0,0,20,12,Hiver,False,False,2.25,3.857142857142857
2021-12-22,Aspirine,4,3.5,14.0,2,22,12,Hiver,False,False,0.88,3.857142857142857
2021-12-24,Simvastatine,8,16.0,128.0,4,24,12,Hiver,False,False,2.0,4.428571428571429
2021-12-24,Cortisone,7,7.5,52.5,4,24,12,Hiver,False,False,1.07,4.571428571428571
2021-12-25,Lisinopril,4,5.0,20.0,5,25,12,Hiver,False,True,1.25,4.714285714285714
2021-12-26,Furosemide,9,17.0,153.0,6,26,12,Hiver,False,True,1.89,5.857142857142857
2021-12-26,Duloxetine,5,11.5,57.5,6,26,12,Hiver,False,True,2.3,5.857142857142857
2021-12-29,Hydrochlorothiazide,10,15.0,150.0,2,29,12,Hiver,False,False,1.5,6.714285714285714
2021-12-30,Venlafaxine,2,10.5,21.0,3,30,12,Hiver,False,False,5.25,6.428571428571429
2021-12-30,Losartan,9,6.5,58.5,3,30,12,Hiver,False,False,0.72,6.571428571428571
2021-12-31,Venlafaxine,1,10.5,10.5,4,31,12,Hiver,False,False,10.5,5.714285714285714
2021-12-31,Metformine,4,12.0,48.0,4,31,12,Hiver,False,False,3.0,5.714285714285714
2021-12-31,Esomeprazole,8,4.5,36.0,4,31,12,Hiver,False,False,0.56,5.571428571428571
2021-12-31,Gabapentine,9,9.0,81.0,4,31,12,Hiver,False,False,1.0,6.142857142857143
2022-01-01,Sertraline,1,6.5,6.5,5,1,1,Hiver,False,True,6.5,4.857142857142857
2022-01-02,Sertraline,4,6.5,26.0,6,2,1,Hiver,False,True,1.62,5.142857142857143
2022-01-03,Metformine,9,12.0,108.0,0,3,1,Hiver,False,False,1.33,5.142857142857143
2022-01-05,Albuterol,8,9.5,76.0,2,5,1,Hiver,False,False,1.19,6.142857142857143
2022-01-05,Amoxicilline,7,8.0,56.0,2,5,1,Hiver,False,False,1.14,6.571428571428571
2022-01-06,Venlafaxine,1,10.5,10.5,3,6,1,Hiver,False,False,10.5,5.571428571428571
2022-01-06,Omeprazole,7,5.5,38.5,3,6,1,Hiver,False,False,0.79,5.285714285714286
2022-01-07,Hydrochlorothiazide,6,15.0,90.0,4,7,1,Hiver,False,False,2.5,6.0
2022-01-07,Atorvastatine,2,11.0,22.0,4,7,1,Hiver,False,False,5.5,5.714285714285714
2022-01-08,Sertraline,1,6.5,6.5,5,8,1,Hiver,False,True,6.5,4.571428571428571
2022-01-08,Cortisone,9,7.5,67.5,5,8,1,Hiver,False,True,0.83,4.714285714285714
2022-01-10,Albuterol,9,9.5,85.5,0,10,1,Hiver,False,False,1.06,5.0
2022-01-10,Sertraline,3,6.5,19.5,0,10,1,Hiver,False,False,2.17,5.285714285714286
2022-01-11,Paracétamol,4,5.0,20.0,1,11,1,Hiver,False,False,1.25,4.857142857142857
2022-01-11,Losartan,5,6.5,32.5,1,11,1,Hiver,False,False,1.3,4.714285714285714
2022-01-12,Gabapentine,4,9.0,36.0,2,12,1,Hiver,False,False,2.25,5.0
2022-01-12,Esomeprazole,6,4.5,27.0,2,12,1,Hiver,False,False,0.75,5.714285714285714
2022-01-13,Venlafaxine,7,10.5,73.5,3,13,1,Hiver,False,False,1.5,5.428571428571429
2022-01-13,Prednisone,7,3.5,24.5,3,13,1,Hiver,False,False,0.5,5.142857142857143
